entity_id	valid	rejected	polled	electors	UNP	PA	JVP	TULF	SLMC	EPDP	SU	NLF	DPLF	IND9	USP	IND4	NDP	DLF	IND3	ULF	IND7	INDP	ESMS	MULF	IND1	IND5	SMBP	JSP	PFF	IND2	LP	RJP	DUNF	IND6	__OTHER
EC-18	181497	11854	193351	244221	86786	73679	18956	0	0	0	199	1517	0	0	0	70	0	0	29	0	0	0	0	0	36	0	45	0	0	34	0	21	109	0	16
EC-18A	48231	3393	51624	66645	21436	19423	6749	0	0	0	57	435	0	0	0	26	0	0	9	0	0	0	0	0	15	0	18	0	0	15	0	7	34	0	7
EC-18B	48478	2401	50879	63518	24450	19149	4355	0	0	0	37	416	0	0	0	12	0	0	4	0	0	0	0	0	8	0	9	0	0	7	0	7	20	0	4
EC-18C	81076	5995	87071	110281	39349	33531	7280	0	0	0	99	662	0	0	0	32	0	0	16	0	0	0	0	0	12	0	18	0	0	11	0	6	55	0	5
EC-18P	3712	65	3777	3777	1551	1576	572	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
EC-19	373837	26626	400463	505304	201173	138443	26820	0	0	0	1044	0	0	0	0	114	352	0	5065	0	0	0	0	0	105	203	0	0	0	91	0	276	0	0	151
EC-19A	52482	2793	55275	70678	30316	17224	4655	0	0	0	64	0	0	0	0	19	56	0	4	0	0	0	0	0	20	26	0	0	0	10	0	64	0	0	24
EC-19B	29039	2579	31618	41188	14792	11949	1962	0	0	0	66	0	0	0	0	11	33	0	99	0	0	0	0	0	23	29	0	0	0	13	0	40	0	0	22
EC-19C	36090	3575	39665	50668	20490	12174	1485	0	0	0	42	0	0	0	0	14	41	0	1743	0	0	0	0	0	9	28	0	0	0	16	0	24	0	0	24
EC-19D	32677	1884	34561	45540	16240	12518	2851	0	0	0	137	0	0	0	0	8	40	0	817	0	0	0	0	0	6	13	0	0	0	12	0	21	0	0	14
EC-19E	39877	3047	42924	54349	20754	15137	2775	0	0	0	127	0	0	0	0	19	85	0	872	0	0	0	0	0	14	23	0	0	0	13	0	39	0	0	19
EC-19F	39781	2681	42462	51763	20496	16287	2772	0	0	0	63	0	0	0	0	9	23	0	70	0	0	0	0	0	10	19	0	0	0	4	0	20	0	0	8
EC-19G	45459	2908	48367	59666	24295	17253	3413	0	0	0	114	0	0	0	0	8	32	0	267	0	0	0	0	0	10	25	0	0	0	8	0	18	0	0	16
EC-19H	47797	3543	51340	65674	25750	17710	3319	0	0	0	302	0	0	0	0	12	30	0	592	0	0	0	0	0	9	21	0	0	0	11	0	28	0	0	13
EC-19I	36910	3325	40235	51762	22114	12340	1729	0	0	0	70	0	0	0	0	14	12	0	575	0	0	0	0	0	4	16	0	0	0	4	0	22	0	0	10
EC-19P	13725	291	14016	14016	5926	5851	1859	0	0	0	59	0	0	0	0	0	0	0	26	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1
EC-20	187333	15638	202971	253318	80549	81805	21987	0	0	0	359	1745	0	0	0	23	0	0	36	215	0	0	0	0	171	28	0	0	91	54	84	0	0	112	74
EC-20A	45371	4053	49424	62810	20258	19423	4823	0	0	0	65	538	0	0	0	4	0	0	10	66	0	0	0	0	45	11	0	0	26	15	29	0	0	38	20
EC-20B	56110	5376	61486	78033	23313	26591	5230	0	0	0	130	571	0	0	0	6	0	0	9	61	0	0	0	0	51	8	0	0	30	16	23	0	0	43	28
EC-20C	79920	6103	86023	106437	34428	33230	11148	0	0	0	145	625	0	0	0	13	0	0	17	86	0	0	0	0	74	9	0	0	35	23	31	0	0	31	25
EC-20P	5932	106	6038	6038	2550	2561	786	0	0	0	19	11	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1
EC-21	489578	30483	520061	631754	227202	212794	40377	0	0	0	1448	4589	0	0	1556	173	0	0	55	0	0	0	242	0	100	270	0	0	231	167	259	0	0	0	115
EC-21A	60046	3294	63340	79242	27594	26773	4448	0	0	0	259	530	0	0	246	21	0	0	7	0	0	0	20	0	13	30	0	0	19	32	41	0	0	0	13
EC-21B	73697	3657	77354	94271	33702	33136	5334	0	0	0	352	730	0	0	209	31	0	0	7	0	0	0	22	0	16	31	0	0	44	29	37	0	0	0	17
EC-21C	48940	3300	52240	61586	24135	21329	2591	0	0	0	126	492	0	0	154	11	0	0	2	0	0	0	21	0	6	15	0	0	23	11	17	0	0	0	7
EC-21D	62174	4793	66967	81992	30982	25849	4106	0	0	0	222	604	0	0	206	27	0	0	10	0	0	0	30	0	17	31	0	0	33	15	32	0	0	0	10
EC-21E	59643	4589	64232	78583	30637	24316	3693	0	0	0	107	543	0	0	167	17	0	0	10	0	0	0	34	0	12	34	0	0	25	17	21	0	0	0	10
EC-21F	58829	3203	62032	73176	26220	28833	2756	0	0	0	90	554	0	0	186	16	0	0	3	0	0	0	33	0	8	29	0	0	30	16	38	0	0	0	17
EC-21G	38399	2830	41229	48682	16708	18445	2506	0	0	0	66	416	0	0	126	19	0	0	2	0	0	0	13	0	7	17	0	0	17	15	25	0	0	0	17
EC-21H	79741	4678	84419	105974	33942	30539	13761	0	0	0	177	713	0	0	255	31	0	0	12	0	0	0	67	0	21	82	0	0	39	32	48	0	0	0	22
EC-21P	8109	139	8248	8248	3282	3574	1182	0	0	0	49	7	0	0	7	0	0	0	2	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	2
EC-22	421640	22669	444309	568722	208104	170901	36711	0	0	0	2046	2514	0	0	0	137	0	0	59	0	0	0	399	0	92	0	144	85	161	54	185	0	0	0	48
EC-22A	58515	2527	61042	76475	29259	23109	5515	0	0	0	191	284	0	0	0	20	0	0	8	0	0	0	43	0	8	0	16	4	22	6	20	0	0	0	10
EC-22B	43463	2217	45680	59001	20569	18619	3736	0	0	0	182	236	0	0	0	8	0	0	9	0	0	0	40	0	7	0	10	10	19	5	12	0	0	0	1
EC-22C	44889	2057	46946	61325	19242	19454	5415	0	0	0	389	244	0	0	0	8	0	0	9	0	0	0	37	0	7	0	18	8	15	4	30	0	0	0	9
EC-22D	41085	2045	43130	56580	19972	17068	3454	0	0	0	232	203	0	0	0	20	0	0	3	0	0	0	36	0	7	0	28	10	16	12	17	0	0	0	7
EC-22E	53403	2560	55963	73064	30845	17641	4116	0	0	0	408	244	0	0	0	23	0	0	4	0	0	0	42	0	10	0	16	16	10	3	20	0	0	0	5
EC-22F	33857	1827	35684	47648	18044	12263	3161	0	0	0	105	175	0	0	0	10	0	0	6	0	0	0	29	0	8	0	14	11	12	6	8	0	0	0	5
EC-22G	45535	3521	49056	62548	22704	19508	2678	0	0	0	87	391	0	0	0	16	0	0	5	0	0	0	58	0	16	0	9	7	20	5	27	0	0	0	4
EC-22H	46401	2594	48995	61914	21298	20574	3820	0	0	0	223	333	0	0	0	12	0	0	4	0	0	0	51	0	9	0	15	10	22	6	20	0	0	0	4
EC-22I	40775	3014	43789	56143	20383	16528	3148	0	0	0	133	392	0	0	0	19	0	0	11	0	0	0	61	0	18	0	10	8	24	7	30	0	0	0	3
EC-22P	13717	307	14024	14024	5788	6137	1668	0	0	0	96	12	0	0	0	1	0	0	0	0	0	0	2	0	2	0	8	1	1	0	1	0	0	0	0
LK	8952219	493727	9445971	12684545	4085793	3330815	815352	347553	102984	72453	50662	45892	16610	14848	9448	7563	6952	6212	6161	3851	3275	2892	2771	2644	2263	1825	1630	1624	1361	1300	1152	1089	978	977	3289
